country,iso2c,year,exports_pct_gdp,fdi_inward,fdi_outward,fdi_net,gdp_current_usd,fdi_inward_pct_gdp,fdi_outward_pct_gdp,fdi_net_pct_gdp
Philippines,PHL,1990,19.3932131437876,550,22,528,50508286641.5746,1.0889302262478284,0.04355720904991313,1.0453730171979152
Philippines,PHL,1991,20.9651411756089,556,27,529,51784144942.727,1.073687710041236,0.05213951109912477,1.0215481989421111
Philippines,PHL,1992,20.7796645414886,776,101,675,60422328242.1803,1.284293443459667,0.16715674972864217,1.1171366937310243
Philippines,PHL,1993,22.3031303689154,1238,374,864,62036529147.1831,1.995598427279541,0.6028706072718484,1.392727820007693
Philippines,PHL,1994,24.075665857016,1591,302,1289,73159336915.2718,2.174705330971751,0.412797617821162,1.761907713150589
Philippines,PHL,1995,25.9460416626648,1459,98,1361,84644328727.4825,1.7236831125418195,0.11577857781295292,1.6079045347288667
Philippines,PHL,1996,28.8867213731659,1520,182,1338,94648084429.0341,1.6059490365488336,0.1922912662183472,1.413657770330487
Philippines,PHL,1997,35.0861457359116,1249,136,1113,94106317565.0846,1.327222265536193,0.14451739640746375,1.1827048691287292
Philippines,PHL,1998,37.8068683988215,1752,160,1592,74492416329.9142,2.351917263954348,0.2147869647446893,2.137130299209659
Philippines,PHL,1999,38.4111587355426,1247,133,1114,85640171045.1254,1.4560923743869365,0.15530095091697077,1.3007914234699656
Philippines,PHL,2000,43.3442192240219,2240,125,2115,83669788376.9213,2.6771909472378455,0.14939681625211193,2.5277941309857335
Philippines,PHL,2001,41.1555015074547,195,-140,335,78921234457.5487,0.2470817915359515,-0.17739205546170875,0.4244738469976602
Philippines,PHL,2002,40.0056799440289,1542,65,1477,84307345887.543,1.829022113988576,0.07709885694504374,1.7519232570435326
Philippines,PHL,2003,42.3050183712712,491,303,188,87039092974.2272,0.5641143344007364,0.3481194365039168,0.2159948978968197
Philippines,PHL,2004,41.8268409907999,688,579,109,95001999685.3314,0.7241952824980685,0.6094608554743921,0.11473442702367656
Philippines,PHL,2005,41.2300392158954,1851,981,870,107419977318.166,1.7231431677904234,0.9132379511628338,0.8099052166275896
Philippines,PHL,2006,41.2454593705084,2929,1290,1639,127652926368.069,2.294502823660028,1.0105526263302955,1.2839501973297325
Philippines,PHL,2007,38.0141863378076,2824,5278,-2454,155980408673.403,1.8104837806349037,3.3837582840619764,-1.5732745034270728
Philippines,PHL,2008,33.3568332437392,1544,2174,-630,181624626327.361,0.8501049836805102,1.196974245156366,-0.3468692614758559
Philippines,PHL,2009,30.2195255995892,1990,1823,167,175974755881.372,1.1308440179576085,1.0359440425812665,0.094899975376342
Philippines,PHL,2010,32.8748297195678,1070,2712,-1642,208368893151.144,0.5135123500530652,1.3015378442466474,-0.7880254941935823
Philippines,PHL,2011,29.1054288781405,2007,2350,-343,234216730291.32,0.85689865002542,1.0033442090481997,-0.1464455590227798
Philippines,PHL,2012,27.4670738577233,3215,4173,-958,261920540962.63,1.2274715026870329,1.5932312848251906,-0.36575978213815785
Philippines,PHL,2013,26.1774198090007,3737,3647,90,283902828588.718,1.3162954446690935,1.2845944572406165,0.03170098742847696
Philippines,PHL,2014,27.3545041909285,5740,6754,-1014,297483555338.044,1.9295184211031025,2.270377598628982,-0.340859177525879
Philippines,PHL,2015,27.2080572390451,4447,4347,100,306445871242.322,1.4511535045233277,1.4185213141809994,0.03263219034232803
Philippines,PHL,2016,26.6730033435157,6915,1032,5883,318627003016.731,2.1702492050358004,0.3238896861311563,1.846359518904644
Philippines,PHL,2017,29.5522908546692,8704,1752,6952,328480736802.76,2.649774864949361,0.5333646097646232,2.116410255184738
Philippines,PHL,2018,30.2136053733275,6602,770,5832,346841896587.313,1.9034609327648029,0.22200316846847895,1.6814577642963235
Philippines,PHL,2019,28.3829200126393,6020,700,5320,376823402239.136,1.5975653221716963,0.1857634095548484,1.411801912616848
Philippines,PHL,2020,25.2028393102032,3254,-6,3260,361751145451.597,0.8995133922624694,-0.00165859875647658,0.901171991018946
Philippines,PHL,2021,25.7520349160187,10225,493,9732,394087359848.11,2.59460237545831,0.1250991658778432,2.4695032095804668
Philippines,PHL,2022,28.3874015457939,5939,308,5631,404353369604.631,1.4687648098016448,0.07617099872350676,1.3925938110781382
Philippines,PHL,2023,26.6368493470555,6452,1052,5400,437055627244.424,1.4762422899526493,0.24070162570213688,1.2355406642505125
Thailand,THA,1990,34.1319282448808,2575,154,2421,85343190719.0107,3.0172295859878178,0.18044790533674715,2.8367816806510704
Thailand,THA,1991,35.9643095170182,2049,183,1866,98234714971.0612,2.0858206801980455,0.18628852341446672,1.8995321567835788
Thailand,THA,1992,36.9724756680199,2151,146,2005,111452746517.655,1.929965897842871,0.13099722040216608,1.7989686774407054
Thailand,THA,1993,36.8172895601126,1807,234,1573,128889262951.157,1.4019786897879682,0.1815511972387297,1.2204274925492384
Thailand,THA,1994,38.2421139088502,1369,494,875,146683778959.101,0.9333001983687034,0.33677888823531005,0.5965213101333933
Thailand,THA,1995,41.532345065243,2070,887,1183,169278916592.843,1.2228339132030566,0.5239872855126141,0.6988466276904425
Thailand,THA,1996,39.018420197111,2338,932,1406,183035237429.281,1.2773496692970547,0.5091915704811185,0.7681580988159363
Thailand,THA,1997,48.2370587073887,3882,584,3298,150180456565.728,2.584890263867991,0.3888655111022429,2.1960247527657484
Thailand,THA,1998,57.9373028444006,7492,132,7360,113675596787.738,6.590684554741786,0.11611990940014896,6.474564645341638
Thailand,THA,1999,56.4385428614735,6106,342,5764,126669211778.94,4.820429458940694,0.26999457500126395,4.55043488393943
Thailand,THA,2000,64.840250738685,3410,-20,3430,126392224253.794,2.697950779909342,-0.01582375823993749,2.7137745381492797
Thailand,THA,2001,63.250689756653,5073,427,4646,120296476180.402,4.2170811324450614,0.3549563657705581,3.862124766674503
Thailand,THA,2002,60.6457526009701,3355,171,3184,134300904400.022,2.4981216731102296,0.12732602268311455,2.3707956504271155
Thailand,THA,2003,61.522551633189,5222,615,4607,152280615245.887,3.4291954964642444,0.4038596764315416,3.0253358200327027
Thailand,THA,2004,65.9718573391185,5859,72,5787,172895685154.658,3.3887485362974963,0.04164360720488475,3.347104929092611
Thailand,THA,2005,68.402716900887,8216,551,7665,189318408468.595,4.339778718012468,0.2910440693311672,4.0487346486813
Thailand,THA,2006,68.6753420333013,8917,1041,7876,221758296021.621,4.02104460575879,0.4694300139727375,3.5516145917860524
Thailand,THA,2007,68.8722751702483,9195,2108,7087,262942621455.053,3.4969606483412115,0.8016958180210195,2.6952648303201925
Thailand,THA,2008,71.4164181071068,8054,1832,6222,291382982430.951,2.7640598406973047,0.6287258043403852,2.1353340363569195
Thailand,THA,2009,64.4386124917652,5362,4947,415,281710630187.319,1.903371554149243,1.756057269372679,0.14731428477656397
Thailand,THA,2010,66.4861731592239,14555,7940,6615,341104766329.17,4.267017478716277,2.3277305929925967,1.939286885723681
Thailand,THA,2011,70.8549093801611,1370,6072,-4702,370818739623.622,0.3694527416253393,1.6374576986489493,-1.2680049570236098
Thailand,THA,2012,68.9512356297981,9135,10497,-1362,397558325278.579,2.297776054267982,2.640367295199891,-0.3425912409319093
Thailand,THA,2013,67.1711410731483,15493,11679,3814,420333654592.547,3.685881401768373,2.7785069961436015,0.9073744056247708
Thailand,THA,2014,68.3941351612178,4809,5575,-766,407339040197.651,1.180589024235574,1.3686387627601009,-0.1880497385245269
Thailand,THA,2015,67.6366902705865,5624,1687,3937,401296238228.084,1.401458439987543,0.4203876935026646,0.9810707464848784
Thailand,THA,2016,67.0708839693011,2491,12398,-9907,413366349747.508,0.6026131545350873,2.9992765515560067,-2.3966633970209195
Thailand,THA,2017,66.6728324663767,7875,13772,-5897,456356813536.764,1.7256234083520685,3.0178140418824997,-1.2921906335304314
Thailand,THA,2018,64.838096899332,11705,15085,-3380,506754208404.485,2.3097982820612737,2.9767883028529956,-0.6669900207917219
Thailand,THA,2019,59.5188906218859,3781,8410,-4629,543976691793.886,0.6950665455042382,1.5460221231659994,-0.8509555776617611
Thailand,THA,2020,51.4944266088919,-5630,17270,-22900,500461898480.246,-1.1249607646649298,3.4508121502243942,-4.575772914889324
Thailand,THA,2021,58.5593891849287,14648,18668,-4020,506194668789.937,2.8937483745168984,3.687909247370389,-0.7941608728534907
Thailand,THA,2022,65.3727641914083,11705,7656,4049,495644697587.661,2.361570709213493,1.5446548782348146,0.8169158309786787
Thailand,THA,2023,65.4445629404008,8053,15213,-7160,515906283940.933,1.560942413510513,2.9487913742376053,-1.387848960727092
Vietnam,VNM,1990,36.0386136391372,180,0,180,6471740805.56984,2.781322760100107,0,2.781322760100107
Vietnam,VNM,1991,30.9150393380004,375,0,375,9613369520.41885,3.900817493840197,0,3.900817493840197
Vietnam,VNM,1992,34.7455958184055,474,0,474,9866990236.43587,4.803896513950714,0,4.803896513950714
Vietnam,VNM,1993,28.7227826669423,926,0,926,13180953598.1716,7.025288368577903,0,7.025288368577903
Vietnam,VNM,1994,34.0131286444039,1945,0,1945,16286433533.3228,11.94245502565334,0,11.94245502565334
Vietnam,VNM,1995,32.8128553339566,1780,0,1780,20736164458.9505,8.58403685755726,0,8.58403685755726
Vietnam,VNM,1996,40.8684874244585,2395,0,2395,24657470574.7501,9.713080637121568,0,9.713080637121568
Vietnam,VNM,1997,43.1027067530124,2220,0,2220,26843700441.5482,8.270096758209698,0,8.270096758209698
Vietnam,VNM,1998,44.8483033762953,1671,0,1671,27209602050.0452,6.141214402645864,0,6.141214402645864
Vietnam,VNM,1999,49.9662459731661,1412,0,1412,28683659006.7752,4.9226634568012395,0,4.9226634568012395
Vietnam,VNM,2000,53.9214970089166,1289,0,1289,31172518403.3162,4.13505249502996,0,4.13505249502996
Vietnam,VNM,2001,55.0619332820827,1300,0,1300,32685198808.5549,3.977335452705715,0,3.977335452705715
Vietnam,VNM,2002,54.7391336880928,1400,0,1400,35064105500.8344,3.9926870513399666,0,3.9926870513399666
Vietnam,VNM,2003,56.6732579147533,1450,0,1450,39552513231.9169,3.666012299895832,0,3.666012299895832
Vietnam,VNM,2004,59.7310414143857,1610,0,1610,45427854693.2554,3.5440810728819954,0,3.5440810728819954
Vietnam,VNM,2005,63.6994926701393,1954,65,1889,57633255738.1992,3.390403639308707,0.11278210673237764,3.2776215325763296
Vietnam,VNM,2006,67.7168143260187,2400,85,2315,66371664817.0436,3.6160009043252193,0.12806669869485152,3.487934205630368
Vietnam,VNM,2007,70.517874602272,6981,184,6797,77414425532.2452,9.017699158785629,0.2376817999164239,8.780017358869202
Vietnam,VNM,2008,70.3366919402715,9579,300,9279,99130304099.1274,9.663039054557204,0.30263197790658325,9.36040707665062
Vietnam,VNM,2009,62.6088840664865,7600,700,6900,106014659565.214,7.168819888842755,0.6602860423934116,6.508533846449343
Vietnam,VNM,2010,54.1758459668515,8000,900,7100,147201173196.979,5.43473929334429,0.6114081705012325,4.823331122843057
Vietnam,VNM,2011,61.1801557211956,7519,950,6569,172595049183.925,4.3564401386666765,0.5504213501440807,3.806018788522595
Vietnam,VNM,2012,63.4739249038633,8368,1200,7168,195590661129.249,4.278322876811746,0.6135262251642084,3.664796651647538
Vietnam,VNM,2013,66.8004459919109,8900,1956,6944,213708811665.34,4.164545172773253,0.9152640851623016,3.2492810876109517
Vietnam,VNM,2014,69.5985759502054,9200,1150,8050,233451469642.519,3.9408618905196153,0.4926077363149519,3.4482541542046636
Vietnam,VNM,2015,72.9228518369495,11800,1100,10700,239258328381.741,4.931907733290223,0.4597541107304445,4.472153622559778
Vietnam,VNM,2016,74.1072862556183,12600,1000,11600,257096001177.982,4.900893029167456,0.38895976421963935,4.5119332649478165
Vietnam,VNM,2017,81.7625218355655,14100,480,13620,281353605986.903,5.011487217496816,0.17060382017010436,4.840883397326711
Vietnam,VNM,2018,84.4234560833365,15500,598,14902,310106478394.659,4.998283196223275,0.19283699040913024,4.805446205814144
Vietnam,VNM,2019,85.1575874073411,16120,465,15655,334365270496.667,4.821074861051003,0.13906946714570204,4.6820053939053015
Vietnam,VNM,2020,84.381598008957,15800,380,15420,346615738537.796,4.55836196782424,0.10963149036539312,4.448730477458847
Vietnam,VNM,2021,93.8502071275575,15660,358,15302,366474752771.009,4.273145661901878,0.09768749342023449,4.175458168481643
Vietnam,VNM,2022,93.420129043511,17900,2674,15226,413445230668.578,4.329473089108827,0.6467603933115644,3.6827126957972625
Vietnam,VNM,2023,86.4674192371297,18500,-950,19450,433857681378.291,4.2640710984368635,-0.2189658131629741,4.483036911599838
